category,solver,problem_size,lcp_dimension,contact_count,solver_identity_schema_version,solver_manifest_index,solver_family_pivoting,solver_family_projection,solver_family_newton,solver_family_other,time_ns,contract_ok,iterations,residual,complementarity,bound_violation,solver_supports_standard,solver_supports_boxed,solver_supports_friction_index,solver_supports_problem,problem_type_standard,problem_type_boxed,problem_type_friction_index,problem_type_invalid
Standard,Admm,12,12,,1,22,0,0,0,1,805.31264894408935,1,0,1.4210854715202004e-14,1.4210854715202004e-14,0,1,1,1,1,1,0,0,0
Standard,Admm,24,24,,1,22,0,0,0,1,2159.2100899498637,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,1,1,1,1,0,0,0
Standard,Admm,48,48,,1,22,0,0,0,1,9345.5439133321688,1,0,2.8421709430404007e-14,2.8421709430404007e-14,0,1,1,1,1,1,0,0,0
Standard,Admm,96,96,,1,22,0,0,0,1,44063.388944486433,1,0,1.1368683772161603e-13,1.1368683772161603e-13,0,1,1,1,1,1,0,0,0
Standard,Apgd,12,12,,1,13,0,1,0,0,822.75957589140819,1,0,1.4210854715202004e-14,1.4210854715202004e-14,0,1,1,1,1,1,0,0,0
Standard,Apgd,24,24,,1,13,0,1,0,0,2562.3218247912114,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,1,1,1,1,0,0,0
Standard,Apgd,48,48,,1,13,0,1,0,0,10412.620597827628,1,0,2.8421709430404007e-14,2.8421709430404007e-14,0,1,1,1,1,1,0,0,0
Standard,Apgd,96,96,,1,13,0,1,0,0,42960.302631578568,1,0,1.1368683772161603e-13,1.1368683772161603e-13,0,1,1,1,1,1,0,0,0
Standard,BGS,12,12,,1,10,0,1,0,0,772.94924229896776,1,0,1.4210854715202004e-14,1.4210854715202004e-14,0,1,1,1,1,1,0,0,0
Standard,BGS,24,24,,1,10,0,1,0,0,2236.2462057442722,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,1,1,1,1,0,0,0
Standard,BGS,48,48,,1,10,0,1,0,0,9677.8132480289187,1,0,2.8421709430404007e-14,2.8421709430404007e-14,0,1,1,1,1,1,0,0,0
Standard,BGS,96,96,,1,10,0,1,0,0,47497.064808272866,1,0,1.1368683772161603e-13,1.1368683772161603e-13,0,1,1,1,1,1,0,0,0
Standard,Baraff,12,12,,1,3,1,0,0,0,982.12948861375469,1,0,1.4210854715202004e-14,1.4210854715202004e-14,0,1,0,0,1,1,0,0,0
Standard,Baraff,24,24,,1,3,1,0,0,0,2536.9491571139561,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,0,0,1,1,0,0,0
Standard,Baraff,48,48,,1,3,1,0,0,0,10591.252010038917,1,0,2.8421709430404007e-14,2.8421709430404007e-14,0,1,0,0,1,1,0,0,0
Standard,Baraff,96,96,,1,3,1,0,0,0,47723.256684847729,1,0,1.1368683772161603e-13,1.1368683772161603e-13,0,1,0,0,1,1,0,0,0
Standard,BlockedJacobi,12,12,,1,9,0,1,0,0,955.90740483589229,1,0,1.4210854715202004e-14,1.4210854715202004e-14,0,1,1,1,1,1,0,0,0
