tau,Admm,Apgd,Baraff,Bgs,BlockedJacobi,BoxedSemiSmoothNewton,Dantzig,Direct,FischerBurmeisterNewton,InteriorPoint,Jacobi,Lemke,MinimumMapNewton,Mprgp,Nncg,PenalizedFischerBurmeisterNewton,Pgs,RedBlackGaussSeidel,Sap,ShockPropagation,Staggering,SubspaceMinimization,SymmetricPsor,Tgs
1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333
1.0452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333
1.0905,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000
1.1357,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000
1.1809,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.1667,0.0000,0.0000,0.0000,0.0000,0.5000
1.2261,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.0000,0.1667,0.0000,0.0000,0.0000,0.0000,0.5000
1.2714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.5000
1.3166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.5000
1.3618,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.5000
1.4070,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.5000
1.4523,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.1667,0.5000,0.0000,0.0000,0.0000,0.0000,0.5000
1.4975,0.1667,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.1667,0.5000,0.0000,0.0000,0.0000,0.1667,0.6667
1.5427,0.1667,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.1667,0.5000,0.0000,0.0000,0.0000,0.1667,0.6667
1.5879,0.1667,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.1667,0.5000,0.0000,0.0000,0.0000,0.1667,0.6667
1.6332,0.1667,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.3333,0.5000,0.0000,0.0000,0.0000,0.1667,0.6667
1.6784,0.1667,0.3333,0.0000,0.0000,0.0000,0.0000,0.1667,0.3333,0.0000,0.0000,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.3333,0.6667,0.0000,0.1667,0.0000,0.1667,0.6667
1.7236,0.3333,0.3333,0.0000,0.0000,0.0000,0.0000,0.3333,0.3333,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.5000,0.6667,0.0000,0.3333,0.0000,0.3333,0.6667
1.7688,0.3333,0.3333,0.0000,0.0000,0.0000,0.0000,0.3333,0.3333,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.5000,0.6667,0.0000,0.3333,0.0000,0.3333,0.6667
1.8141,0.5000,0.3333,0.0000,0.0000,0.0000,0.0000,0.5000,0.3333,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.6667,0.6667,0.0000,0.5000,0.0000,0.3333,0.6667
